FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa,ResearchInstitutionType
Projects,232848,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Water4All,ETH Domain
Projects,291452,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Water4All,ETH Domain
Projects,159642,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Water4All,ETH Domain
Projects,242603,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Water4All,Cantonal university
Projects,286857,Project funding (special),Projektförderung (spezial),Encouragement de projets (spécial),Water4All,ETH Domain
Programmes,454613,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79,Cantonal university
Programmes,498574,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79,Cantonal university
Programmes,384514,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79,Cantonal university
Programmes,482018,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79,Cantonal university
Careers,934602,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,837308,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,612667,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,775240,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,875493,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,912670,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,873450,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,827696,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,882130,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,865630,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,699651,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,902164,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,919986,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,944212,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,894150,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,882634,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,912568,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,921871,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,898853,Ambizione,Ambizione,Ambizione,Ambizione,University of applied sciences
Careers,588560,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,635661,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,857644,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,967144,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,560754,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,446638,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,955144,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,861595,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,607716,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,898526,Ambizione,Ambizione,Ambizione,Ambizione,Other
Careers,795305,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,851496,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,700985,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,962128,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,734858,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,955826,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,808885,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,774510,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,814130,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
Careers,755108,Ambizione,Ambizione,Ambizione,Ambizione,University of applied sciences
Careers,922844,Ambizione,Ambizione,Ambizione,Ambizione,ETH Domain
Careers,854630,Ambizione,Ambizione,Ambizione,Ambizione,Cantonal university
